,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class,leafDecisionNode,leafParentNode,classPrediction,success,treeID
2661,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9,178,100,10.0,1.0,2
3978,M,0.485,0.39,0.12,0.599,0.251,0.1345,0.169,8,178,100,10.0,4.0,2
3055,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11,209,123,11.223938223938225,0.05014832814060653,2
3756,I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9,190,110,9.333333333333334,0.11111111111111151,2
3768,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9,211,124,11.406832298136646,5.792841711353727,2
748,M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14,178,100,10.0,16.0,2
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,178,100,10.0,9.0,2
3445,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8,213,125,12.090909090909092,16.735537190082653,2
1920,F,0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9,209,123,11.223938223938225,4.945901223893506,2
1489,F,0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11,209,123,11.223938223938225,0.05014832814060653,2
1847,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8,190,110,9.333333333333334,1.7777777777777795,2
301,F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13,209,123,11.223938223938225,3.154395432387707,2
4155,I,0.44,0.35,0.11,0.3805,0.1575,0.0895,0.115,6,190,110,9.333333333333334,11.111111111111114,2
3767,M,0.555,0.46,0.16,0.86,0.3345,0.1935,0.275,10,211,124,11.406832298136646,1.9791771150804358,2
1946,M,0.635,0.525,0.16,1.195,0.5435,0.246,0.335,12,211,124,11.406832298136646,0.3518479225338532,2
2836,M,0.58,0.445,0.16,0.984,0.49,0.201,0.27,9,211,124,11.406832298136646,5.792841711353727,2
3980,F,0.525,0.41,0.115,0.7745,0.416,0.163,0.18,7,159,84,10.444444444444445,11.8641975308642,2
3073,M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10,211,124,11.406832298136646,1.9791771150804358,2
2599,M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8,211,124,11.406832298136646,11.606506307627019,2
2055,I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9,190,110,9.333333333333334,0.11111111111111151,2
2208,F,0.625,0.525,0.215,1.5765,0.5115,0.2595,0.665,16,209,123,11.223938223938225,22.81076608875836,2
2708,M,0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11,211,124,11.406832298136646,0.16551251880714454,2
2612,F,0.635,0.495,0.18,1.596,0.617,0.317,0.37,11,209,123,11.223938223938225,0.05014832814060653,2
870,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12,211,124,11.406832298136646,0.3518479225338532,2
3539,I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8,190,110,9.333333333333334,1.7777777777777795,2
346,F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9,209,123,11.223938223938225,4.945901223893506,2
816,I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6,190,110,9.333333333333334,11.111111111111114,2
660,I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18,213,125,12.090909090909092,34.91735537190082,2
937,I,0.455,0.355,0.125,0.5325,0.225,0.126,0.1465,7,190,110,9.333333333333334,5.444444444444447,2
1366,I,0.61,0.465,0.15,0.9605,0.4495,0.1725,0.286,9,213,125,12.090909090909092,9.553719008264467,2
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12,211,124,11.406832298136646,0.3518479225338532,2
2209,F,0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27,209,123,11.223938223938225,248.8841251621174,2
818,I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6,190,110,9.333333333333334,11.111111111111114,2
1230,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,190,110,9.333333333333334,5.444444444444447,2
2098,M,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8,178,100,10.0,4.0,2
2397,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17,213,125,12.090909090909092,24.099173553719,2
2392,M,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10,178,100,10.0,0.0,2
1745,F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,12,209,123,11.223938223938225,0.6022718802641569,2
583,I,0.46,0.355,0.14,0.4935,0.216,0.133,0.115,13,213,125,12.090909090909092,0.8264462809917341,2
3554,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,190,110,9.333333333333334,1.7777777777777795,2
3806,I,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8,190,110,9.333333333333334,1.7777777777777795,2
2537,I,0.66,0.525,0.215,1.786,0.6725,0.3615,0.4065,11,213,125,12.090909090909092,1.190082644628101,2
934,I,0.45,0.355,0.105,0.4445,0.197,0.093,0.1335,8,190,110,9.333333333333334,1.7777777777777795,2
1706,M,0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10,211,124,11.406832298136646,1.9791771150804358,2
1569,I,0.475,0.36,0.145,0.6325,0.2825,0.137,0.19,8,213,125,12.090909090909092,16.735537190082653,2
1321,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,213,125,12.090909090909092,9.553719008264467,2
535,I,0.465,0.38,0.13,0.454,0.1895,0.08,0.155,11,190,110,9.333333333333334,2.777777777777776,2
2868,I,0.335,0.26,0.09,0.1965,0.0875,0.041,0.056,7,190,110,9.333333333333334,5.444444444444447,2
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,211,124,11.406832298136646,6.72451872998727,2
570,I,0.45,0.35,0.14,0.474,0.21,0.109,0.1275,16,213,125,12.090909090909092,15.280991735537183,2
3877,F,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,15,209,123,11.223938223938225,14.258642536634808,2
1392,M,0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10,211,124,11.406832298136646,1.9791771150804358,2
2355,M,0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,13,178,100,10.0,9.0,2
2299,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8,190,110,9.333333333333334,1.7777777777777795,2
3801,I,0.205,0.155,0.045,0.0495,0.0235,0.011,0.014,3,190,110,9.333333333333334,40.11111111111112,2
676,M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,211,124,11.406832298136646,0.3518479225338532,2
3528,I,0.35,0.265,0.085,0.1735,0.0775,0.034,0.056,6,190,110,9.333333333333334,11.111111111111114,2
1679,F,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,12,209,123,11.223938223938225,0.6022718802641569,2
1953,M,0.64,0.49,0.155,1.1285,0.477,0.269,0.34,9,211,124,11.406832298136646,5.792841711353727,2
2412,M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7,178,100,10.0,9.0,2
3082,F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11,209,123,11.223938223938225,0.05014832814060653,2
1675,F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7,209,123,11.223938223938225,17.841654119646407,2
1044,M,0.69,0.525,0.175,1.7005,0.8255,0.362,0.405,8,211,124,11.406832298136646,11.606506307627019,2
635,M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8,178,100,10.0,4.0,2
3383,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14,178,100,10.0,16.0,2
2869,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5,190,110,9.333333333333334,18.777777777777782,2
3588,M,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12,211,124,11.406832298136646,0.3518479225338532,2
2062,M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,7,178,100,10.0,9.0,2
1376,M,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10,211,124,11.406832298136646,1.9791771150804358,2
1963,M,0.655,0.52,0.17,1.1445,0.53,0.223,0.348,9,211,124,11.406832298136646,5.792841711353727,2
2461,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13,159,84,10.444444444444445,6.530864197530863,2
2481,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,178,100,10.0,4.0,2
842,M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9,178,100,10.0,1.0,2
2510,I,0.42,0.32,0.1,0.34,0.1745,0.05,0.0945,8,190,110,9.333333333333334,1.7777777777777795,2
4086,M,0.59,0.45,0.155,0.874,0.369,0.2135,0.24,8,211,124,11.406832298136646,11.606506307627019,2
433,M,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255,22,211,124,11.406832298136646,112.21520195980094,2
2773,F,0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,11,209,123,11.223938223938225,0.05014832814060653,2
507,M,0.585,0.455,0.225,1.055,0.3815,0.221,0.365,15,211,124,11.406832298136646,12.910854133713979,2
2012,I,0.46,0.35,0.11,0.4675,0.2125,0.099,0.1375,7,190,110,9.333333333333334,5.444444444444447,2
3149,F,0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24,209,123,11.223938223938225,163.22775450574676,2
2865,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4,190,110,9.333333333333334,28.44444444444445,2
1633,I,0.575,0.425,0.135,0.7965,0.364,0.196,0.239,10,190,110,9.333333333333334,0.44444444444444364,2
509,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16,213,125,12.090909090909092,15.280991735537183,2
3973,I,0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7,190,110,9.333333333333334,5.444444444444447,2
260,F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,11,209,123,11.223938223938225,0.05014832814060653,2
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13,159,84,10.444444444444445,6.530864197530863,2
2414,I,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,9,190,110,9.333333333333334,0.11111111111111151,2
3817,M,0.475,0.385,0.12,0.562,0.289,0.0905,0.153,8,178,100,10.0,4.0,2
3986,F,0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10,209,123,11.223938223938225,1.4980247760170562,2
3027,I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8,190,110,9.333333333333334,1.7777777777777795,2
2711,I,0.19,0.14,0.03,0.0315,0.0125,0.005,0.0105,3,190,110,9.333333333333334,40.11111111111112,2
3423,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316,11,209,123,11.223938223938225,0.05014832814060653,2
3279,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18,209,123,11.223938223938225,45.91501319300546,2
3966,I,0.295,0.22,0.065,0.1295,0.052,0.028,0.035,6,190,110,9.333333333333334,11.111111111111114,2
3387,M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18,211,124,11.406832298136646,43.46986034489411,2
810,M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12,211,124,11.406832298136646,0.3518479225338532,2
3829,F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12,209,123,11.223938223938225,0.6022718802641569,2
4074,I,0.52,0.4,0.14,0.622,0.278,0.1455,0.169,8,213,125,12.090909090909092,16.735537190082653,2
1942,M,0.63,0.49,0.155,1.2525,0.63,0.246,0.289,9,211,124,11.406832298136646,5.792841711353727,2
1416,F,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,12,159,84,10.444444444444445,2.4197530864197523,2
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,209,123,11.223938223938225,1.4980247760170562,2
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,211,124,11.406832298136646,6.72451872998727,2
732,M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,178,100,10.0,25.0,2
1931,M,0.62,0.49,0.15,1.195,0.4605,0.302,0.355,9,211,124,11.406832298136646,5.792841711353727,2
1926,M,0.615,0.47,0.145,1.0285,0.4435,0.2825,0.285,11,211,124,11.406832298136646,0.16551251880714454,2
2720,I,0.37,0.275,0.09,0.2065,0.096,0.0395,0.058,7,190,110,9.333333333333334,5.444444444444447,2
195,M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,211,124,11.406832298136646,0.3518479225338532,2
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8,211,124,11.406832298136646,11.606506307627019,2
4141,F,0.65,0.505,0.165,1.357,0.5725,0.281,0.43,11,209,123,11.223938223938225,0.05014832814060653,2
2456,I,0.25,0.18,0.06,0.073,0.028,0.017,0.0225,5,190,110,9.333333333333334,18.777777777777782,2
3119,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10,159,84,10.444444444444445,0.19753086419753105,2
1458,I,0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7,190,110,9.333333333333334,5.444444444444447,2
1181,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,209,123,11.223938223938225,1.4980247760170562,2
807,F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15,159,84,10.444444444444445,20.753086419753085,2
602,F,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865,13,159,84,10.444444444444445,6.530864197530863,2
2095,M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7,178,100,10.0,9.0,2
3843,M,0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16,211,124,11.406832298136646,21.097189537440688,2
3192,F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2,14,159,84,10.444444444444445,12.641975308641975,2
1735,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11,211,124,11.406832298136646,0.16551251880714454,2
1403,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10,209,123,11.223938223938225,1.4980247760170562,2
760,M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,211,124,11.406832298136646,12.910854133713979,2
3743,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12,209,123,11.223938223938225,0.6022718802641569,2
2750,I,0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8,213,125,12.090909090909092,16.735537190082653,2
3054,M,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,12,211,124,11.406832298136646,0.3518479225338532,2
2592,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,211,124,11.406832298136646,19.42017090390031,2
967,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,190,110,9.333333333333334,5.444444444444447,2
908,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7,190,110,9.333333333333334,5.444444444444447,2
3643,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8,190,110,9.333333333333334,1.7777777777777795,2
1950,F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10,209,123,11.223938223938225,1.4980247760170562,2
1186,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,209,123,11.223938223938225,7.706518984511257,2
3051,M,0.595,0.48,0.14,0.9125,0.4095,0.1825,0.289,9,211,124,11.406832298136646,5.792841711353727,2
2013,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,178,100,10.0,0.0,2
1866,I,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,10,190,110,9.333333333333334,0.44444444444444364,2
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,178,100,10.0,4.0,2
1227,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,190,110,9.333333333333334,1.7777777777777795,2
2441,M,0.54,0.415,0.17,0.879,0.339,0.208,0.255,10,211,124,11.406832298136646,1.9791771150804358,2
1850,I,0.485,0.36,0.12,0.5155,0.2465,0.1025,0.147,8,190,110,9.333333333333334,1.7777777777777795,2
3215,F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11,209,123,11.223938223938225,0.05014832814060653,2
1948,M,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,10,211,124,11.406832298136646,1.9791771150804358,2
1340,M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,211,124,11.406832298136646,5.792841711353727,2
3446,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8,190,110,9.333333333333334,1.7777777777777795,2
3060,M,0.63,0.515,0.175,1.1955,0.492,0.247,0.37,11,211,124,11.406832298136646,0.16551251880714454,2
3352,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15,209,123,11.223938223938225,14.258642536634808,2
3380,I,0.19,0.13,0.045,0.0265,0.009,0.005,0.009,5,190,110,9.333333333333334,18.777777777777782,2
2816,I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6,190,110,9.333333333333334,11.111111111111114,2
2783,M,0.6,0.495,0.185,1.1145,0.5055,0.2635,0.367,11,211,124,11.406832298136646,0.16551251880714454,2
2519,I,0.505,0.39,0.185,0.6125,0.267,0.142,0.172,7,213,125,12.090909090909092,25.917355371900836,2
2680,M,0.615,0.475,0.175,1.103,0.4635,0.3095,0.2725,10,211,124,11.406832298136646,1.9791771150804358,2
1447,M,0.44,0.32,0.12,0.4565,0.2435,0.092,0.1025,8,178,100,10.0,4.0,2
1048,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,211,124,11.406832298136646,0.16551251880714454,2
450,M,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58,16,211,124,11.406832298136646,21.097189537440688,2
1518,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11,211,124,11.406832298136646,0.16551251880714454,2
2114,I,0.13,0.095,0.035,0.0105,0.005,0.0065,0.0035,4,190,110,9.333333333333334,28.44444444444445,2
3047,M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9,211,124,11.406832298136646,5.792841711353727,2
3566,M,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9,211,124,11.406832298136646,5.792841711353727,2
2616,F,0.65,0.5,0.185,1.4415,0.741,0.2955,0.341,9,209,123,11.223938223938225,4.945901223893506,2
3606,F,0.51,0.375,0.11,0.5805,0.2865,0.118,0.148,7,159,84,10.444444444444445,11.8641975308642,2
1903,M,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10,211,124,11.406832298136646,1.9791771150804358,2
803,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7,190,110,9.333333333333334,5.444444444444447,2
1106,I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,190,110,9.333333333333334,0.11111111111111151,2
2293,I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,190,110,9.333333333333334,11.111111111111114,2
132,F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,159,84,10.444444444444445,11.8641975308642,2
3330,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08,10,159,84,10.444444444444445,0.19753086419753105,2
1690,M,0.625,0.5,0.17,1.0985,0.4645,0.22,0.354,9,211,124,11.406832298136646,5.792841711353727,2
4133,M,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11,211,124,11.406832298136646,0.16551251880714454,2
3827,M,0.68,0.54,0.195,1.7825,0.5565,0.3235,0.4285,11,211,124,11.406832298136646,0.16551251880714454,2
404,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,190,110,9.333333333333334,5.444444444444447,2
3620,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9,209,123,11.223938223938225,4.945901223893506,2
3457,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455,10,209,123,11.223938223938225,1.4980247760170562,2
3264,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12,209,123,11.223938223938225,0.6022718802641569,2
3740,F,0.65,0.5,0.17,1.4045,0.694,0.318,0.3235,11,209,123,11.223938223938225,0.05014832814060653,2
1700,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12,211,124,11.406832298136646,0.3518479225338532,2
3200,F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215,10,209,123,11.223938223938225,1.4980247760170562,2
3408,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7,190,110,9.333333333333334,5.444444444444447,2
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,209,123,11.223938223938225,1.4980247760170562,2
3441,F,0.465,0.355,0.115,0.4705,0.1955,0.118,0.126,7,159,84,10.444444444444445,11.8641975308642,2
2356,M,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,13,211,124,11.406832298136646,2.5381833262605618,2
550,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17,213,125,12.090909090909092,24.099173553719,2
2416,M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18,178,100,10.0,64.0,2
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,190,110,9.333333333333334,40.11111111111112,2
1063,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,190,110,9.333333333333334,18.777777777777782,2
1734,M,0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12,211,124,11.406832298136646,0.3518479225338532,2
2029,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9,211,124,11.406832298136646,5.792841711353727,2
2953,F,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11,209,123,11.223938223938225,0.05014832814060653,2
2498,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,211,124,11.406832298136646,12.910854133713979,2
357,F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,18,209,123,11.223938223938225,45.91501319300546,2
1157,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,209,123,11.223938223938225,4.945901223893506,2
1889,M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7,178,100,10.0,9.0,2
2109,M,0.62,0.49,0.17,1.2105,0.5185,0.2555,0.335,13,211,124,11.406832298136646,2.5381833262605618,2
715,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7,190,110,9.333333333333334,5.444444444444447,2
1391,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9,209,123,11.223938223938225,4.945901223893506,2
1374,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9,211,124,11.406832298136646,5.792841711353727,2
591,F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9,159,84,10.444444444444445,2.08641975308642,2
687,F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,159,84,10.444444444444445,30.864197530864196,2
403,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,209,123,11.223938223938225,1.4980247760170562,2
2753,I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8,190,110,9.333333333333334,1.7777777777777795,2
2010,I,0.435,0.325,0.12,0.346,0.159,0.084,0.095,7,190,110,9.333333333333334,5.444444444444447,2
3267,F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,10,159,84,10.444444444444445,0.19753086419753105,2
619,M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,178,100,10.0,9.0,2
3292,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11,209,123,11.223938223938225,0.05014832814060653,2
1970,M,0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11,211,124,11.406832298136646,0.16551251880714454,2
3296,F,0.605,0.485,0.165,1.0735,0.437,0.205,0.33,14,209,123,11.223938223938225,7.706518984511257,2
3906,M,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4,178,100,10.0,36.0,2
4149,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6,190,110,9.333333333333334,11.111111111111114,2
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,190,110,9.333333333333334,5.444444444444447,2
1681,F,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11,209,123,11.223938223938225,0.05014832814060653,2
3486,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,8,209,123,11.223938223938225,10.393777671769955,2
1019,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,211,124,11.406832298136646,0.16551251880714454,2
1016,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,211,124,11.406832298136646,11.606506307627019,2
1104,I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,190,110,9.333333333333334,1.7777777777777795,2
3401,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18,211,124,11.406832298136646,43.46986034489411,2
1287,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,190,110,9.333333333333334,1.7777777777777795,2
1724,F,0.655,0.505,0.195,1.4405,0.688,0.3805,0.363,11,209,123,11.223938223938225,0.05014832814060653,2
679,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,159,84,10.444444444444445,5.975308641975309,2
2613,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11,209,123,11.223938223938225,0.05014832814060653,2
4051,M,0.625,0.5,0.175,1.0565,0.4615,0.258,0.305,10,211,124,11.406832298136646,1.9791771150804358,2
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,209,123,11.223938223938225,0.05014832814060653,2
3076,F,0.68,0.56,0.195,1.664,0.58,0.3855,0.545,11,209,123,11.223938223938225,0.05014832814060653,2
3258,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,7,178,100,10.0,9.0,2
1686,M,0.62,0.48,0.15,1.266,0.6285,0.2575,0.309,12,211,124,11.406832298136646,0.3518479225338532,2
3369,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37,17,213,125,12.090909090909092,24.099173553719,2
1251,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,190,110,9.333333333333334,11.111111111111114,2
3887,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9,209,123,11.223938223938225,4.945901223893506,2
2158,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14,211,124,11.406832298136646,6.72451872998727,2
3143,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4,190,110,9.333333333333334,28.44444444444445,2
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19,211,124,11.406832298136646,57.65619574862082,2
3578,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10,209,123,11.223938223938225,1.4980247760170562,2
2028,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10,209,123,11.223938223938225,1.4980247760170562,2
4099,M,0.67,0.525,0.18,1.4915,0.728,0.343,0.381,9,211,124,11.406832298136646,5.792841711353727,2
107,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,159,84,10.444444444444445,0.19753086419753105,2
3467,M,0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10,211,124,11.406832298136646,1.9791771150804358,2
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,209,123,11.223938223938225,3.154395432387707,2
1409,F,0.66,0.515,0.17,1.337,0.615,0.3125,0.3575,10,209,123,11.223938223938225,1.4980247760170562,2
3077,M,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10,211,124,11.406832298136646,1.9791771150804358,2
3609,F,0.555,0.405,0.12,0.913,0.4585,0.196,0.2065,9,159,84,10.444444444444445,2.08641975308642,2
3491,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8,211,124,11.406832298136646,11.606506307627019,2
1079,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,190,110,9.333333333333334,5.444444444444447,2
610,F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,209,123,11.223938223938225,0.6022718802641569,2
3652,F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10,209,123,11.223938223938225,1.4980247760170562,2
