,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain
413,7,5,7,6,93.7,231.1,715.1,8.4,26.4,33.0,3.6,0.0
414,5,4,5,7,93.6,235.1,723.1,10.1,24.1,50.0,4.0,0.0
416,6,3,6,2,92.7,164.1,575.8,8.9,26.3,39.0,3.1,0.0
417,6,5,6,3,93.4,17.3,28.3,9.9,13.8,24.0,5.8,0.0
418,2,4,2,7,92.0,203.2,664.5,8.1,24.9,42.0,5.4,0.0
419,2,5,2,7,91.6,181.3,613.0,7.6,24.8,36.0,4.0,0.0
420,8,8,8,3,91.7,191.4,635.9,7.8,26.2,36.0,4.5,0.0
422,8,6,8,7,88.9,263.1,795.9,5.2,29.3,27.0,3.6,0.0
424,8,6,8,6,93.7,231.1,715.1,8.4,26.9,31.0,3.6,0.0
425,2,2,2,4,91.6,248.4,753.8,6.3,20.4,56.0,2.2,0.0
427,2,4,2,1,92.1,207.0,672.6,8.2,27.9,33.0,2.2,0.0
428,1,3,1,4,94.8,222.4,698.6,13.9,26.2,34.0,5.8,0.0
429,3,4,3,7,91.6,181.3,613.0,7.6,24.6,44.0,4.0,0.0
430,7,4,7,4,89.7,287.2,849.3,6.8,19.4,45.0,3.6,0.0
431,1,3,1,6,92.1,178.0,605.3,9.6,23.3,40.0,4.0,0.0
436,8,6,8,1,92.1,207.0,672.6,8.2,26.8,35.0,1.3,0.0
437,8,6,8,6,89.4,253.6,768.4,9.7,14.2,73.0,2.7,0.0
438,2,5,2,6,93.7,231.1,715.1,8.4,23.6,53.0,4.0,0.0
440,5,4,5,5,90.3,290.0,855.3,7.4,16.2,58.0,3.6,0.0
441,8,6,8,1,92.1,207.0,672.6,8.2,25.5,29.0,1.8,0.0
442,6,5,6,1,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0.0
443,1,2,1,5,90.7,80.9,368.3,16.8,14.8,78.0,8.0,0.0
445,5,5,5,7,94.0,47.9,100.7,10.7,17.3,80.0,4.5,0.0
446,6,5,6,7,92.0,203.2,664.5,8.1,19.1,70.0,2.2,0.0
447,3,4,3,3,93.4,17.3,28.3,9.9,8.9,35.0,8.0,0.0
450,4,5,4,3,95.2,217.7,690.0,18.0,23.4,49.0,5.4,0.0
451,1,4,1,5,90.5,196.8,649.9,16.3,11.8,88.0,4.9,0.0
452,7,4,7,1,91.5,238.2,730.6,7.5,17.7,65.0,4.0,0.0
453,4,5,4,4,89.4,266.2,803.3,5.6,17.4,54.0,3.1,0.0
454,3,4,3,4,91.6,248.4,753.8,6.3,16.8,56.0,3.1,0.0
455,3,4,3,1,94.6,160.0,567.2,16.7,17.9,48.0,2.7,0.0
456,2,4,2,4,91.6,248.4,753.8,6.3,16.6,59.0,2.7,0.0
457,1,4,1,3,91.7,191.4,635.9,7.8,19.9,50.0,4.0,0.0
458,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0
459,7,4,7,6,91.6,273.8,819.1,7.7,15.5,72.0,8.0,0.0
460,2,5,2,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0
461,8,6,8,6,93.7,231.1,715.1,8.4,18.9,64.0,4.9,0.0
462,1,4,1,7,91.0,276.3,825.1,7.1,14.5,76.0,7.6,0.0
463,6,5,6,2,75.1,4.4,16.2,1.9,4.6,82.0,6.3,0.0
465,2,2,2,6,79.5,3.6,15.3,1.8,4.6,59.0,0.9,0.0
467,3,4,3,3,90.2,18.5,41.1,7.3,11.2,41.0,5.4,0.0
468,6,5,6,4,91.3,20.6,43.5,8.5,13.3,27.0,3.6,0.0
469,6,3,6,7,91.0,14.6,25.6,12.3,13.7,33.0,9.4,0.0
470,5,4,5,7,91.0,14.6,25.6,12.3,17.6,27.0,5.8,0.0
471,4,3,4,5,89.6,25.4,73.7,5.7,18.0,40.0,4.0,0.0
472,8,3,8,1,88.2,96.2,229.0,4.7,14.3,79.0,4.0,0.0
473,9,4,9,6,90.5,61.1,252.6,9.4,24.5,50.0,3.1,0.0
474,4,3,4,4,93.0,103.8,316.7,10.8,26.4,35.0,2.7,0.0
475,2,5,2,4,93.7,121.7,350.2,18.0,22.7,40.0,9.4,0.0
476,4,3,4,4,93.5,85.3,395.0,9.9,27.2,28.0,1.3,0.0
478,7,4,7,7,93.7,101.3,423.4,14.7,18.2,82.0,4.5,0.0
479,7,4,7,1,89.2,103.9,431.6,6.4,22.6,57.0,4.9,0.0
480,9,9,9,4,93.2,114.4,560.0,9.5,30.2,25.0,4.5,0.0
481,4,3,4,4,93.2,114.4,560.0,9.5,30.2,22.0,4.9,0.0
482,3,4,3,7,94.9,130.3,587.1,14.1,23.4,40.0,5.8,0.0
483,8,6,8,7,94.9,130.3,587.1,14.1,31.0,27.0,5.4,0.0
485,2,4,2,1,95.0,135.5,596.3,21.3,30.6,28.0,3.6,0.0
487,5,4,5,2,95.1,141.3,605.8,17.7,26.4,34.0,3.6,0.0
488,4,4,4,2,95.1,141.3,605.8,17.7,19.4,71.0,7.6,0.0
489,4,4,4,3,95.1,141.3,605.8,17.7,20.6,58.0,1.3,0.0
490,4,4,4,3,95.1,141.3,605.8,17.7,28.7,33.0,4.0,0.0
491,4,4,4,4,95.8,152.0,624.1,13.8,32.4,21.0,4.5,0.0
492,1,3,1,5,95.9,158.0,633.6,11.3,32.4,27.0,2.2,0.0
493,1,3,1,5,95.9,158.0,633.6,11.3,27.5,29.0,4.5,0.0
494,6,6,6,6,96.0,164.0,643.0,14.0,30.8,30.0,4.9,0.0
495,6,6,6,1,96.2,175.5,661.8,16.8,23.9,42.0,2.2,0.0
496,4,5,4,1,96.2,175.5,661.8,16.8,32.6,26.0,3.1,0.0
497,3,4,3,2,96.1,181.1,671.2,14.3,32.3,27.0,2.2,0.0
498,6,5,6,2,96.1,181.1,671.2,14.3,33.3,26.0,2.7,0.0
499,7,5,7,2,96.1,181.1,671.2,14.3,27.3,63.0,4.9,6.4
501,7,5,7,2,96.1,181.1,671.2,14.3,21.6,65.0,4.9,0.8
502,4,4,4,2,96.1,181.1,671.2,14.3,20.7,69.0,4.9,0.4
504,4,3,4,3,94.5,139.4,689.1,20.0,28.9,29.0,4.9,0.0
505,1,2,1,4,91.0,163.2,744.4,10.1,26.7,35.0,1.8,0.0
506,1,2,1,5,91.0,166.9,752.6,7.1,18.5,73.0,8.5,0.0
507,2,4,2,5,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0
508,1,2,1,5,91.0,166.9,752.6,7.1,25.9,41.0,3.6,0.0
509,5,4,5,5,91.0,166.9,752.6,7.1,21.1,71.0,7.6,1.4
511,8,6,8,7,81.6,56.7,665.6,1.9,27.8,35.0,2.7,0.0
512,4,3,4,7,81.6,56.7,665.6,1.9,27.8,32.0,2.7,0.0
513,2,4,2,7,81.6,56.7,665.6,1.9,21.9,71.0,5.8,0.0
514,7,4,7,7,81.6,56.7,665.6,1.9,21.2,70.0,6.7,0.0
515,1,4,1,6,94.4,146.0,614.7,11.3,25.6,42.0,4.0,0.0
