,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class
1565,I,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
1362,F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
1471,M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8
4071,I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
3743,F,0.705,0.555,0.195,1.7525,0.7105,0.4215,0.516,12
3497,F,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9
3753,I,0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
2116,I,0.31,0.225,0.05,0.1445,0.0675,0.0385,0.045,6
997,M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8
4122,I,0.46,0.365,0.11,0.4495,0.1755,0.102,0.15,8
397,M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15
1600,I,0.535,0.4,0.13,0.657,0.2835,0.162,0.175,7
2101,M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
4033,I,0.495,0.385,0.125,0.5125,0.2075,0.1155,0.172,10
3530,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
3837,I,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,4
1053,I,0.185,0.13,0.045,0.029,0.012,0.0075,0.0095,4
1583,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7
3690,M,0.64,0.5,0.175,1.273,0.5065,0.2925,0.405,13
1999,I,0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
2112,M,0.525,0.405,0.13,0.7185,0.3265,0.1975,0.175,8
1107,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8
3250,F,0.435,0.35,0.125,0.459,0.197,0.1145,0.145,9
3354,F,0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
2469,M,0.54,0.415,0.13,0.8245,0.272,0.226,0.24,13
696,I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4
666,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11
3503,F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
1023,F,0.64,0.5,0.175,1.394,0.4935,0.291,0.4,10
2599,M,0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
2983,F,0.525,0.41,0.135,0.7905,0.4065,0.198,0.177,8
4089,M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
1512,F,0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
1935,M,0.62,0.485,0.155,1.0295,0.425,0.2315,0.335,12
1846,I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
2198,I,0.27,0.19,0.08,0.081,0.0265,0.0195,0.03,6
2036,I,0.255,0.19,0.06,0.086,0.04,0.0185,0.025,5
2562,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6
3127,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
3529,I,0.36,0.265,0.075,0.1785,0.0785,0.035,0.054,6
3048,I,0.59,0.47,0.145,0.974,0.453,0.236,0.289,8
3607,M,0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8
3961,M,0.695,0.55,0.205,2.173,1.133,0.4665,0.496,10
298,M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11
27,M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12
548,F,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,12
1298,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10
1005,M,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
3170,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285,14
1145,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9
3907,I,0.48,0.39,0.15,0.6275,0.276,0.134,0.185,13
2557,I,0.39,0.295,0.1,0.279,0.1155,0.059,0.08,7
2521,M,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9
3921,M,0.375,0.28,0.095,0.2225,0.0875,0.043,0.08,10
1979,M,0.7,0.55,0.195,1.6245,0.675,0.347,0.535,13
4130,M,0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,10
165,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14
3536,I,0.425,0.325,0.11,0.405,0.1695,0.092,0.1065,8
435,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11
3861,F,0.63,0.475,0.175,1.423,0.4155,0.3385,0.49,14
803,I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7
2928,M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11
3884,I,0.29,0.225,0.075,0.152,0.071,0.059,0.045,9
3261,F,0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
1381,F,0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
2239,F,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,8
673,M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
3535,I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9
2193,I,0.215,0.17,0.055,0.0605,0.0205,0.014,0.02,6
1480,F,0.58,0.46,0.175,1.165,0.65,0.2205,0.3055,9
1102,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
2307,F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
2221,M,0.58,0.465,0.175,1.035,0.401,0.1865,0.385,17
3923,M,0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12
3989,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
1178,F,0.65,0.5,0.19,1.464,0.6415,0.339,0.4245,9
4056,M,0.645,0.51,0.165,1.403,0.5755,0.2515,0.4545,11
1912,I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18
1266,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
1288,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
2738,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8
41,F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
3169,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35,10
1473,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
3912,I,0.52,0.405,0.14,0.6765,0.2865,0.146,0.205,15
2426,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
1202,M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
3780,M,0.615,0.48,0.185,1.2205,0.4985,0.315,0.33,10
2368,F,0.72,0.595,0.225,1.969,0.8045,0.423,0.66,16
1301,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
4012,F,0.62,0.465,0.14,1.011,0.479,0.2385,0.255,8
1123,F,0.55,0.415,0.135,0.8145,0.427,0.1855,0.175,8
3517,F,0.7,0.56,0.175,1.6605,0.8605,0.3275,0.398,11
1087,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
2180,F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21
2848,F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
1081,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6
1363,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10
1460,M,0.485,0.39,0.085,0.6435,0.2945,0.103,0.198,8
3813,I,0.35,0.26,0.095,0.221,0.0985,0.043,0.07,8
2410,F,0.505,0.375,0.115,0.5895,0.2635,0.12,0.167,10
2120,M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
95,M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14
2194,I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
1560,I,0.435,0.325,0.11,0.367,0.1595,0.08,0.105,6
2840,M,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
3319,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
3244,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,19
1831,I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
588,M,0.45,0.335,0.14,0.4625,0.164,0.076,0.15,14
2038,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5
3600,I,0.175,0.125,0.04,0.028,0.0095,0.008,0.009,4
3077,M,0.685,0.51,0.165,1.545,0.686,0.3775,0.4055,10
2565,I,0.45,0.35,0.12,0.468,0.2005,0.1065,0.1325,8
3352,F,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
2024,M,0.545,0.44,0.14,0.8395,0.356,0.1905,0.2385,11
1068,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6
1157,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
1794,I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
2211,M,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17
2431,F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,18
462,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6
2138,F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
2187,M,0.495,0.385,0.135,0.6335,0.2,0.1225,0.26,14
550,I,0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
2954,M,0.645,0.495,0.19,1.539,0.6115,0.408,0.445,12
1174,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9
505,M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15
3144,F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9
3787,M,0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
3353,I,0.475,0.365,0.14,0.4545,0.171,0.118,0.158,8
695,I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7
4088,M,0.6,0.47,0.13,1.0105,0.423,0.219,0.298,9
3887,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9
4057,F,0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
522,I,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07,9
3509,F,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
1302,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
3697,M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12
1271,I,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8
783,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
908,I,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
1429,I,0.14,0.105,0.035,0.014,0.0055,0.0025,0.004,3
3008,F,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
2814,I,0.275,0.2,0.055,0.0925,0.038,0.021,0.026,4
742,F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14
2151,F,0.745,0.585,0.19,1.966,0.8435,0.437,0.5855,18
1099,I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
3790,F,0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
3293,M,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13
2002,I,0.36,0.27,0.085,0.196,0.0905,0.034,0.053,7
127,I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8
1152,M,0.59,0.47,0.15,0.9955,0.481,0.232,0.24,8
109,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9
2461,F,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,13
2809,M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
2835,M,0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8
2961,F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10
3440,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
3240,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29,15
412,F,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28,11
924,I,0.425,0.315,0.1,0.377,0.1645,0.072,0.105,6
725,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
1572,I,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
1619,I,0.56,0.445,0.15,0.8225,0.3685,0.187,0.236,10
3652,F,0.525,0.425,0.14,0.8735,0.4205,0.182,0.2225,10
2724,I,0.385,0.285,0.085,0.244,0.1215,0.0445,0.068,8
3694,M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
616,F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
2655,M,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
1901,M,0.575,0.435,0.135,0.992,0.432,0.2225,0.239,10
1296,M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9
2758,M,0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
1494,M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10
2865,I,0.315,0.235,0.075,0.1285,0.051,0.028,0.0405,4
404,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
2700,M,0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
1420,F,0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
896,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
2021,M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
1806,M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,11
1747,F,0.7,0.535,0.175,1.773,0.6805,0.48,0.512,15
3133,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
552,I,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
2698,F,0.665,0.505,0.165,1.349,0.5985,0.3175,0.36,9
1975,M,0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
267,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,8
1991,I,0.285,0.215,0.06,0.0935,0.031,0.023,0.03,6
2661,M,0.565,0.43,0.13,0.784,0.3495,0.1885,0.213,9
2514,I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8
4108,I,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,7
624,I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15
3539,I,0.435,0.34,0.12,0.396,0.1775,0.081,0.125,8
1332,I,0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
1062,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5
2807,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13
2382,I,0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
2715,I,0.335,0.25,0.08,0.167,0.0675,0.0325,0.0575,6
3224,M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47,16
747,M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9
1203,F,0.73,0.575,0.185,1.8795,0.931,0.38,0.4825,12
560,F,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13
1387,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
2168,M,0.335,0.235,0.085,0.1545,0.066,0.0345,0.045,6
1859,I,0.515,0.415,0.135,0.7125,0.285,0.152,0.245,10
2561,I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
4090,M,0.615,0.475,0.205,1.337,0.5995,0.2815,0.37,11
2483,F,0.54,0.415,0.175,0.8975,0.275,0.241,0.275,14
4173,M,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
3691,M,0.645,0.51,0.19,1.4865,0.6445,0.296,0.425,12
1929,M,0.615,0.495,0.2,1.219,0.564,0.227,0.3885,10
3583,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
1422,M,0.72,0.575,0.215,2.173,0.9515,0.564,0.5365,12
1421,F,0.72,0.575,0.17,1.9335,0.913,0.389,0.51,13
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
2119,I,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
3056,M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11
2573,I,0.475,0.355,0.105,0.468,0.201,0.1115,0.12,8
2102,I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
2395,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
1326,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8
1479,M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
3756,I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
1522,M,0.68,0.515,0.17,1.6115,0.8415,0.306,0.395,11
2192,F,0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
3935,M,0.52,0.41,0.115,0.77,0.263,0.157,0.26,11
2179,F,0.595,0.47,0.25,1.283,0.462,0.2475,0.445,14
1348,M,0.59,0.47,0.18,1.187,0.5985,0.227,0.31,9
3945,I,0.235,0.175,0.065,0.0615,0.0205,0.02,0.019,6
464,I,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025,6
1878,I,0.545,0.425,0.14,0.8145,0.305,0.231,0.244,10
791,F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10
3735,M,0.615,0.475,0.15,1.0375,0.476,0.2325,0.283,9
1839,I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
2649,M,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
3047,M,0.59,0.435,0.165,0.9765,0.4525,0.2395,0.235,9
422,F,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
1028,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11
1227,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
952,M,0.48,0.365,0.12,0.6015,0.312,0.117,0.14,7
488,M,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
3487,I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,8
3641,I,0.465,0.37,0.115,0.4075,0.1515,0.0935,0.1455,9
2088,F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
4129,I,0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10
3228,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
2985,I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
1391,F,0.635,0.495,0.175,1.211,0.707,0.2725,0.323,9
704,M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12
3100,M,0.58,0.43,0.125,0.9115,0.446,0.2075,0.121,10
1644,M,0.58,0.46,0.155,1.0335,0.469,0.2225,0.295,10
2445,M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
606,M,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
1894,M,0.57,0.46,0.155,1.0005,0.454,0.205,0.265,11
518,M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
2032,M,0.605,0.445,0.14,0.982,0.4295,0.2085,0.295,12
1182,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11
401,M,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235,9
4042,F,0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
907,I,0.33,0.265,0.085,0.196,0.0775,0.0305,0.0445,6
2889,I,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,8
2121,I,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
2432,F,0.61,0.485,0.165,1.087,0.4255,0.232,0.38,11
3933,I,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
1939,F,0.625,0.445,0.16,1.09,0.46,0.2965,0.304,11
1129,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8
2058,M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8
1714,F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
715,I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7
3514,M,0.67,0.525,0.18,1.6615,0.8005,0.3645,0.43,10
3826,F,0.68,0.52,0.185,1.541,0.5985,0.395,0.4575,10
1573,I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8
2320,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10
1043,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12
3675,M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
3152,F,0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
1430,I,0.23,0.165,0.06,0.0515,0.019,0.0145,0.036,4
1110,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8
2937,M,0.625,0.515,0.165,1.217,0.667,0.2065,0.3115,10
815,I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
22,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12
3428,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
509,I,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275,16
1668,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10
3475,I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
1171,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
604,I,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235,12
3821,M,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
1704,M,0.64,0.515,0.18,1.247,0.5475,0.2925,0.3685,10
1797,I,0.585,0.45,0.15,0.8915,0.3975,0.2035,0.253,8
787,M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12
1385,I,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
80,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8
2920,M,0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
4125,I,0.54,0.415,0.135,0.709,0.3195,0.174,0.185,9
4003,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
1578,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
3001,M,0.64,0.495,0.165,1.307,0.678,0.292,0.266,11
2712,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
718,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
895,I,0.255,0.19,0.05,0.083,0.0295,0.0215,0.027,6
1881,I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
2039,I,0.285,0.215,0.07,0.1075,0.051,0.0225,0.027,6
1350,F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10
338,M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,13
1359,M,0.605,0.49,0.14,0.9755,0.419,0.206,0.315,10
2870,I,0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
2636,I,0.44,0.34,0.1,0.407,0.209,0.0735,0.103,7
3422,M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
1921,M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10
3909,F,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
3454,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
74,F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
4039,I,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11
755,M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13
2824,I,0.46,0.365,0.115,0.511,0.2365,0.118,0.123,7
1636,M,0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,10
3502,M,0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
3218,F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365,14
40,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9
1702,F,0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
3920,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8
3220,M,0.5,0.4,0.145,0.6025,0.216,0.138,0.21,11
1170,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
3453,F,0.555,0.42,0.11,0.931,0.4445,0.171,0.225,8
1400,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
918,I,0.41,0.305,0.09,0.3535,0.157,0.0745,0.1,7
3768,M,0.56,0.465,0.145,0.8875,0.3345,0.22,0.2695,9
2617,M,0.67,0.52,0.19,1.6385,0.8115,0.369,0.391,9
539,F,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885,10
1117,I,0.53,0.4,0.125,0.617,0.279,0.127,0.19,8
3171,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
497,F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
3263,M,0.565,0.45,0.115,0.9085,0.398,0.197,0.29,17
3029,I,0.52,0.41,0.14,0.6625,0.2775,0.1555,0.196,11
2956,F,0.65,0.565,0.2,1.6645,0.753,0.367,0.43,12
3415,F,0.56,0.465,0.16,1.0315,0.432,0.2025,0.337,9
1609,I,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
14,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10
2475,F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12
1900,M,0.575,0.45,0.155,0.9765,0.495,0.2145,0.235,9
1474,M,0.55,0.425,0.16,0.793,0.343,0.2035,0.215,9
1722,F,0.655,0.51,0.15,1.043,0.4795,0.223,0.305,9
2942,M,0.63,0.53,0.18,1.2795,0.618,0.256,0.315,9
2603,F,0.62,0.51,0.175,1.2705,0.5415,0.323,0.3225,9
4153,I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
3645,I,0.475,0.335,0.1,0.4425,0.1895,0.086,0.135,9
1220,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
4145,M,0.67,0.525,0.2,1.7405,0.6205,0.297,0.657,11
3112,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
2008,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
1561,I,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
1605,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
1004,F,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
2940,M,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
3858,F,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
3003,F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
3188,M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
3538,M,0.435,0.335,0.11,0.4385,0.2075,0.0715,0.1315,7
3903,M,0.635,0.48,0.235,1.064,0.413,0.228,0.36,16
2662,F,0.57,0.45,0.18,0.908,0.4015,0.217,0.255,9
1555,I,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
4098,F,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22,12
950,M,0.48,0.385,0.145,0.64,0.2925,0.1405,0.1575,6
2046,I,0.415,0.305,0.12,0.336,0.165,0.076,0.0805,7
2912,I,0.585,0.45,0.135,0.855,0.3795,0.187,0.26,9
545,M,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,11
2142,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
1871,I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
3848,F,0.675,0.535,0.22,1.604,0.6175,0.4255,0.453,14
2258,M,0.43,0.335,0.115,0.406,0.166,0.0935,0.135,8
2094,I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7
1478,M,0.575,0.465,0.15,1.08,0.595,0.2065,0.238,9
